task_id,title,description,project_id,assigned_to,created_by,deadline,status,priority,created_at
1,Setup Dev Environment,"Configure local and cloud environments",1,1,2,"2023-03-20",Completed,High,"2023-03-15"
2,Design Wireframes,"Create low-fidelity mockups",2,6,12,"2023-05-10",Completed,High,"2023-05-01"
3,Map Data Fields,"Identify CRM data mappings",3,11,3,"2023-07-20",Completed,Medium,"2023-07-10"
4,Create Moodboard,"Collect visual inspiration",4,17,2,"2023-02-10",Completed,Medium,"2023-02-01"
5,Assess AWS Costs,"Estimate migration expenses",5,16,5,"2023-08-15",Completed,High,"2023-08-01"
6,Define KPIs,"List dashboard metrics",6,36,6,"2023-09-25",Completed,High,"2023-09-15"
7,Configure SAP Modules,"Set up finance and HR modules",7,15,7,"2023-11-20",In Progress,High,"2023-11-01"
8,Keyword Research,"Find target SEO keywords",8,12,8,"2023-01-20",Completed,Medium,"2023-01-10"
9,Plan Launch Timeline,"Coordinate marketing and logistics",9,22,9,"2023-10-15",Completed,High,"2023-10-01"
10,Schedule Content Calendar,"Plan 6 months of posts",10,42,10,"2024-02-15",In Progress,Medium,"2024-01-15"
11,Run Vulnerability Scan,"Identify system weaknesses",11,41,11,"2023-12-15",Completed,Critical,"2023-12-01"
12,Setup Shopify Store,"Configure products and payments",12,21,12,"2024-03-01",In Progress,High,"2024-02-01"
13,Develop Training Modules,"Create onboarding courses",13,24,13,"2023-07-15",Completed,Medium,"2023-06-15"
14,Analyze Carrier Rates,"Compare shipping providers",14,33,14,"2024-03-15",In Progress,High,"2024-03-01"
15,Shoot Product Video,"Film main promotional video",15,27,15,"2023-04-15",Completed,High,"2023-04-01"
16,Design Game UI,"Create screens and interactions",16,31,16,"2024-05-15",Planned,High,"2024-04-01"
17,Site Survey,"Assess solar/wind potential",17,35,17,"2023-10-30",Completed,Medium,"2023-10-15"
18,Recruit Test Users,"Find 50 participants",18,17,18,"2024-05-15",In Progress,Medium,"2024-05-01"
19,Deploy Sensor Nodes,"Install 20 field sensors",19,2,19,"2023-09-15",Completed,High,"2023-08-15"
20,Draft Privacy Policy,"Write GDPR-compliant text",20,49,20,"2024-01-20",In Progress,High,"2024-01-01"
21,Code Patient Dashboard,"Build vitals monitoring UI",21,1,21,"2023-12-15",Completed,Critical,"2023-11-15"
22,Integrate Calendar API,"Connect to Google Calendar",22,13,22,"2024-03-15",In Progress,Medium,"2024-02-15"
23,Record Math Lessons,"Film 10 video lessons",23,23,23,"2023-08-01",Completed,High,"2023-07-01"
24,Photograph Products,"Take 50 high-res images",24,22,24,"2023-09-15",Completed,High,"2023-09-01"
25,Test Barcode Scanners,"Validate 10 store devices",25,26,25,"2024-04-15",In Progress,High,"2024-03-15"
26,Design Ticket Templates,"Create event ticket layouts",26,7,26,"2023-12-30",Completed,Medium,"2023-12-15"
27,Update Firewall Rules,"Block known threat IPs",27,41,27,"2024-05-01",In Progress,Critical,"2024-04-15"
28,Sync Fitbit API,"Pull step and heart data",28,6,28,"2023-10-15",Completed,Medium,"2023-10-01"
29,Upload Client Galleries,"Add 200 photos to portal",29,27,29,"2024-02-01",In Progress,Medium,"2024-01-10"
30,Format E-books,"Convert 50 titles to EPUB",30,11,30,"2023-06-15",Completed,High,"2023-05-15"
31,Conduct Safety Tests,"Drop and stress tests",31,47,31,"2024-03-01",In Progress,High,"2024-02-01"
32,Install Monitoring Agents,"Deploy on 50 panels",32,35,32,"2023-11-15",Completed,Medium,"2023-11-01"
33,Code Shipment Tracker,"Real-time map view",33,36,33,"2024-04-15",In Progress,High,"2024-03-01"
34,Test Payment Flows,"Simulate 100 transactions",34,16,34,"2023-09-01",Completed,High,"2023-08-15"
35,Optimize Audio Streaming,"Reduce latency by 30%",35,45,35,"2024-06-15",Planned,Critical,"2024-05-01"
36,Prototype IoT Hub,"Build physical demo unit",36,31,36,"2023-10-15",Completed,High,"2023-09-15"
37,Map Drone Flight Paths,"Plan 10 farm routes",37,2,37,"2024-02-15",In Progress,Medium,"2024-01-15"
38,Integrate Email Reminders,"Send booking confirmations",38,14,38,"2023-07-15",Completed,Medium,"2023-07-01"
39,Scan Car Documents,"Digitize 100 vehicle records",39,47,39,"2024-03-01",In Progress,Medium,"2024-02-15"
40,Track Hop Inventory,"Log 20 shipments",40,13,40,"2023-10-15",Completed,Low,"2023-10-01"
41,Design Math Game Levels,"Create 20 puzzles",41,23,41,"2024-05-15",Planned,High,"2024-04-01"
42,Analyze Panel Output,"Compare 10 sites",42,32,42,"2023-12-15",Completed,Medium,"2023-12-01"
43,Code Obstacle Avoidance,"Implement sensor logic",43,11,43,"2024-04-15",In Progress,Critical,"2024-03-15"
44,Record Voice Prompts,"Native speaker dialogues",44,12,44,"2023-12-01",Completed,High,"2023-11-15"
45,Model Drone Airspace,"Simulate urban flights",45,45,45,"2024-06-15",Planned,High,"2024-05-15"
46,Launch Wellness Challenge,"Week 1: Steps goal",46,24,46,"2023-08-15",Completed,Medium,"2023-08-01"
47,List Classic Cars,"Catalog 50 vehicles",47,7,47,"2024-02-01",In Progress,Medium,"2024-01-01"
48,Forecast Grain Needs,"Predict Q3 demand",48,33,48,"2023-10-01",Completed,Medium,"2023-09-01"
49,Animate Science Modules,"Create 10 explainer videos",49,21,49,"2024-03-15",In Progress,High,"2024-02-01"
50,Visualize Wind Data,"Build real-time chart",50,35,50,"2023-11-01",Completed,High,"2023-10-15"
