project_id,project_name,description,start_date,end_date,status,client_id,budget
1,Website Redesign,"Complete overhaul of client's e-commerce platform","2023-03-15","2023-06-30",Completed,1,75000
2,Mobile App Development,"iOS and Android app for inventory tracking","2023-05-01","2023-10-15",Completed,2,120000
3,CRM Integration,"Integrate Salesforce with internal tools","2023-07-10","2023-09-30",Completed,3,50000
4,Brand Identity Refresh,"New logo, colors, and brand guidelines","2023-02-01","2023-04-15",Completed,4,30000
5,Cloud Migration,"Migrate on-premise servers to AWS","2023-08-01","2024-01-31",Completed,5,200000
6,Data Analytics Dashboard,"Real-time sales and marketing dashboard","2023-09-15","2024-02-28",Completed,6,85000
7,ERP Implementation,"Deploy SAP ERP across finance and HR","2023-11-01","2024-05-31",In Progress,7,300000
8,SEO Optimization Campaign,"Improve organic search rankings","2023-01-10","2023-06-30",Completed,8,25000
9,Product Launch Support,"Marketing and logistics for new product","2023-10-01","2023-12-15",Completed,9,60000
10,Social Media Strategy,"6-month content and ad strategy","2024-01-15","2024-07-15",In Progress,10,40000
11,Cybersecurity Audit,"Full security assessment and hardening","2023-12-01","2024-03-31",Completed,11,70000
12,E-commerce Platform Build,"Custom Shopify Plus implementation","2024-02-01","2024-08-31",In Progress,12,150000
13,Training Program Development,"Onboard new sales team with LMS","2023-06-15","2023-09-01",Completed,13,35000
14,Supply Chain Optimization,"Reduce logistics costs by 20%","2024-03-01","2024-09-30",In Progress,14,90000
15,Video Production Series,"10 promotional videos for product line","2023-04-01","2023-07-15",Completed,15,45000
16,Mobile Game Development,"Casual puzzle game for iOS/Android","2024-04-01","2025-01-31",Planned,16,200000
17,Green Energy Feasibility,"Solar/wind integration study","2023-10-15","2024-01-15",Completed,17,55000
18,UX Research Study,"User testing for new app features","2024-05-01","2024-07-31",In Progress,18,30000
19,Agricultural IoT Pilot,"Sensor network for smart farming","2023-08-15","2024-02-28",Completed,19,110000
20,Legal Compliance Portal,"GDPR and CCPA compliance tool","2024-01-01","2024-06-30",In Progress,20,65000
21,Medical Device Software,"FDA-compliant patient monitoring app","2023-11-15","2024-08-31",In Progress,21,180000
22,Pet Care Mobile App,"Appointment booking and reminders","2024-02-15","2024-09-30",In Progress,22,75000
23,Online Learning Platform,"K-12 interactive course system","2023-07-01","2024-01-31",Completed,23,130000
24,Beauty Product Launch,"Full campaign for new skincare line","2023-09-01","2023-12-01",Completed,24,95000
25,Retail Inventory System,"Real-time stock tracking for 50 stores","2024-03-15","2024-10-31",In Progress,25,140000
26,Event Management Platform,"Ticketing and scheduling system","2023-12-15","2024-05-15",Completed,26,80000
27,Network Security Upgrade,"Firewall and endpoint protection","2024-04-15","2024-08-15",In Progress,27,60000
28,Fitness App Integration,"Sync with wearables and nutrition DB","2023-10-01","2024-03-01",Completed,28,90000
29,Photography Asset Portal,"Client gallery and download system","2024-01-10","2024-06-10",In Progress,29,40000
30,Digital Publishing Platform,"E-book and audiobook distribution","2023-05-15","2023-11-30",Completed,30,100000
31,Toy Safety Compliance,"Testing and certification for new line","2024-02-01","2024-07-01",In Progress,31,50000
32,Solar Panel Monitoring,"Remote performance tracking system","2023-11-01","2024-04-30",Completed,32,70000
33,Logistics Tracking API,"Real-time shipment visibility","2024-03-01","2024-09-01",In Progress,33,110000
34,Payment Gateway Integration,"Stripe and PayPal for global sales","2023-08-15","2024-01-15",Completed,34,55000
35,Music Streaming Backend,"Scalable audio delivery infrastructure","2024-05-01","2025-02-28",Planned,35,250000
36,Smart Home Prototype,"IoT hub for lighting and security","2023-09-15","2024-03-31",Completed,36,120000
37,Drone Fleet Management,"Software for agricultural drones","2024-01-15","2024-08-31",In Progress,37,130000
38,Spa Booking System,"Online reservations and CRM","2023-07-01","2023-12-01",Completed,38,45000
39,Vintage Car Catalog,"Digital archive and sales platform","2024-02-15","2024-08-15",In Progress,39,60000
40,Craft Brewery POS,"Inventory and sales system for taproom","2023-10-01","2024-02-28",Completed,40,35000
41,Educational Game Suite,"Math and reading games for kids","2024-04-01","2025-01-31",Planned,41,160000
42,Solar Farm Monitoring,"Performance analytics for utility-scale","2023-12-01","2024-06-30",In Progress,42,180000
43,Robotics Control Software,"Path planning and sensor fusion","2024-03-15","2024-11-30",In Progress,43,220000
44,Language Learning App,"AI-powered conversation practice","2023-11-15","2024-05-31",Completed,44,95000
45,Drone Delivery Simulation,"Urban logistics modeling","2024-05-15","2025-03-31",Planned,45,140000
46,Wellness Program Platform,"Corporate health challenges and tracking","2023-08-01","2024-01-31",Completed,46,70000
47,Classic Car Marketplace,"Online auction and escrow system","2024-01-01","2024-07-31",In Progress,47,85000
48,Brewery Supply Chain,"Hops and grain inventory optimization","2023-09-01","2024-02-28",Completed,48,50000
49,Game-Based Learning,"History and science interactive modules","2024-02-01","2024-09-30",In Progress,49,110000
50,Renewable Energy Dashboard,"Real-time solar/wind output visualization","2023-10-15","2024-04-30",Completed,50,75000
